,institute_name_scrapper,course_name,duration,Intakes Dates,status,Link of the Program,inst_currency
37,durham college,Communicative Disorders Assistant (graduate certificate),Three consecuti,"e

						September 2022 
View",,https://durhamcollege.ca/programs/communicative-disorders-assistant-graduate-certificate,Canadian dollar(Can$)
38,durham college,Community Integration Through Co-operative Education,Four semesters,"e


View all intakes

Faculty",,https://durhamcollege.ca/programs/community-integration-through-cooperative-education,Canadian dollar(Can$)
39,durham college,Computer Foundations,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/computer-foundations,Canadian dollar(Can$)
40,durham college,Computer Programming and Analysis (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/computer-programming-analyst-three-year,Canadian dollar(Can$)
41,durham college,Computer Programming,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/computer-programming-two-year,Canadian dollar(Can$)
42,durham college,Computer Systems Technician – Transfer to Ontario Tech University Bachelor of Information Technology (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/computer-systems-technician-transfer-to-ontario-tech-university-bachelor-of-information-technology-hons,Canadian dollar(Can$)
43,durham college,Computer Systems Technician,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/computer-systems-technician-two-year,Canadian dollar(Can$)
44,durham college,Computer Systems Technology (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/computer-systems-technology-three-year,Canadian dollar(Can$)
45,durham college,Conflict Resolution and Mediation (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/conflict-resolution-and-mediation,Canadian dollar(Can$)
46,durham college,Construction Management – Honours Bachelor – NEW,Eight semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/construction-management-honours-bachelor,Canadian dollar(Can$)
47,durham college,Cosmetic Techniques and Management,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/cosmetic-techniques-and-management,Canadian dollar(Can$)
48,durham college,Court Support Services,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/court-support-services,Canadian dollar(Can$)
49,durham college,"Crane Operation, Rigging and Construction Techniques",Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/crane-operation-rigging-and-construction-techniques,Canadian dollar(Can$)
50,durham college,Culinary Management,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/culinary-management,Canadian dollar(Can$)
